genome	target_illumina_depth	polishing	remaining_errors
ATCC_14035_Vibrio_cholerae	00.4	FMLRC2	13481
ATCC_14035_Vibrio_cholerae	00.4	NextPolish	7390
ATCC_14035_Vibrio_cholerae	00.4	Pilon	4663
ATCC_17802_Vibrio_parahaemolyticus	00.4	Polypolish	4196
ATCC_17802_Vibrio_parahaemolyticus	00.4	Polypolish-careful	4196
ATCC_17802_Vibrio_parahaemolyticus	00.4	pypolca	4123
ATCC_17802_Vibrio_parahaemolyticus	00.4	pypolca-careful	4167
ATCC_17802_Vibrio_parahaemolyticus	00.4	HyPo	4191
ATCC_17802_Vibrio_parahaemolyticus	00.4	FMLRC2	6676
ATCC_17802_Vibrio_parahaemolyticus	00.4	NextPolish	7105
ATCC_17802_Vibrio_parahaemolyticus	00.4	Pilon	4199
ATCC_19119_Listeria_ivanovii	00.4	Polypolish	933
ATCC_19119_Listeria_ivanovii	00.4	Polypolish-careful	933
ATCC_19119_Listeria_ivanovii	00.4	pypolca	924
ATCC_19119_Listeria_ivanovii	00.4	pypolca-careful	928
ATCC_19119_Listeria_ivanovii	00.4	HyPo	933
ATCC_19119_Listeria_ivanovii	00.4	FMLRC2	937
ATCC_19119_Listeria_ivanovii	00.4	NextPolish	2092
ATCC_19119_Listeria_ivanovii	00.4	Pilon	933
ATCC_25922_Escherichia_coli	00.4	Polypolish	5505
ATCC_25922_Escherichia_coli	00.4	Polypolish-careful	5505
ATCC_25922_Escherichia_coli	00.4	pypolca	5414
ATCC_25922_Escherichia_coli	00.4	pypolca-careful	5478
ATCC_25922_Escherichia_coli	00.4	HyPo	5497
ATCC_25922_Escherichia_coli	00.4	FMLRC2	5527
ATCC_25922_Escherichia_coli	00.4	NextPolish	8244
ATCC_25922_Escherichia_coli	00.4	Pilon	5507
ATCC_33560_Campylobacter_jejuni	00.4	Polypolish	2533
ATCC_33560_Campylobacter_jejuni	00.4	Polypolish-careful	2533
