genome	target_illumina_depth	polishing	remaining_errors
ATCC_14035_Vibrio_cholerae	00.2	FMLRC2	6171
ATCC_14035_Vibrio_cholerae	00.2	NextPolish	2136
ATCC_14035_Vibrio_cholerae	00.2	Polypolish+pypolca	6
ATCC_14035_Vibrio_cholerae	00.2	Polypolish-careful+pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.2	Polypolish-careful+pypolca	6
ATCC_14035_Vibrio_cholerae	00.2	Polypolish+pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.2	pypolca+Polypolish	6
ATCC_14035_Vibrio_cholerae	00.2	pypolca-careful+Polypolish-careful	2
ATCC_14035_Vibrio_cholerae	00.2	pypolca+Polypolish-careful	6
ATCC_14035_Vibrio_cholerae	00.2	pypolca-careful+Polypolish	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca	7
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	HyPo	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	FMLRC2	9
ATCC_17802_Vibrio_parahaemolyticus	00.2	NextPolish	1865
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish+pypolca	7
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish-careful+pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish-careful+pypolca	7
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish+pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca+Polypolish	7
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca-careful+Polypolish-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca+Polypolish-careful	7
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca-careful+Polypolish	2
ATCC_19119_Listeria_ivanovii	00.2	Polypolish	5
ATCC_19119_Listeria_ivanovii	00.2	Polypolish-careful	5
ATCC_19119_Listeria_ivanovii	00.2	pypolca	5
ATCC_19119_Listeria_ivanovii	00.2	pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.2	HyPo	6
ATCC_19119_Listeria_ivanovii	00.2	FMLRC2	5
ATCC_19119_Listeria_ivanovii	00.2	NextPolish	547
ATCC_19119_Listeria_ivanovii	00.2	Polypolish+pypolca	5
ATCC_19119_Listeria_ivanovii	00.2	Polypolish-careful+pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.2	Polypolish-careful+pypolca	5
ATCC_19119_Listeria_ivanovii	00.2	Polypolish+pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.2	pypolca+Polypolish	5
ATCC_19119_Listeria_ivanovii	00.2	pypolca-careful+Polypolish-careful	5
ATCC_19119_Listeria_ivanovii	00.2	pypolca+Polypolish-careful	5
