"","genome","depth","Polypolish","Polypolish-careful","pypolca","pypolca-careful","HyPo","FMLRC2","NextPolish","Pilon","Polypolish+pypolca","Polypolish-careful+pypolca-careful","Polypolish-careful+pypolca","Polypolish+pypolca-careful","pypolca+Polypolish","pypolca-careful+Polypolish-careful","pypolca+Polypolish-careful","pypolca-careful+Polypolish","Hapo-G","before_polish","Polypolish_overall_decreased_accuracy","Polypolish-careful_overall_decreased_accuracy","pypolca_overall_decreased_accuracy","pypolca-careful_overall_decreased_accuracy","HyPo_overall_decreased_accuracy","FMLRC2_overall_decreased_accuracy","NextPolish_overall_decreased_accuracy","Pilon_overall_decreased_accuracy","Hapo-G_overall_decreased_accuracy","Polypolish+pypolca_overall_decreased_accuracy","Polypolish-careful+pypolca-careful_overall_decreased_accuracy","Polypolish-careful+pypolca_overall_decreased_accuracy","Polypolish+pypolca-careful_overall_decreased_accuracy","pypolca+Polypolish_overall_decreased_accuracy","pypolca-careful+Polypolish-careful_overall_decreased_accuracy","pypolca-careful+Polypolish_overall_decreased_accuracy","pypolca+Polypolish-careful_overall_decreased_accuracy"
"26","ATCC_35897_Listeria_welshimeri",0.3,1,1,5,1,3,1,1979,1,5,1,5,1,5,1,5,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"27","ATCC_BAA-679_Listeria_monocytogenes",0.3,0,0,7,0,1,0,1836,0,7,0,7,0,7,0,7,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"28","ATCC_10708_Salmonella_enterica",0.4,3,3,21,3,5,16,3180,3,21,3,21,3,21,3,21,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"29","ATCC_14035_Vibrio_cholerae",0.4,2,2,13,2,2,8826,3813,2,13,2,13,2,13,2,13,2,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"30","ATCC_17802_Vibrio_parahaemolyticus",0.4,2,2,11,2,6,2487,3802,2,11,2,11,2,11,2,11,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"31","ATCC_19119_Listeria_ivanovii",0.4,5,5,5,5,5,7,1319,5,5,5,5,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","ATCC_25922_Escherichia_coli",0.4,1,1,13,1,1,32,3909,1,13,1,13,1,13,1,13,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"33","ATCC_33560_Campylobacter_jejuni",0.4,5,5,9,5,7,5,842,5,9,5,9,5,9,5,9,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"34","ATCC_35221_Campylobacter_lari",0.4,18,18,19,18,18,18,1049,18,19,18,19,18,19,18,19,18,18,18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"35","ATCC_35897_Listeria_welshimeri",0.4,1,1,11,1,5,2,2520,1,11,1,11,1,11,1,11,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"36","ATCC_BAA-679_Listeria_monocytogenes",0.4,0,0,7,0,1,2,1977,0,7,0,7,0,7,0,7,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"37","ATCC_10708_Salmonella_enterica",0.5,3,3,19,3,8,35,3747,3,19,3,19,3,19,3,19,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"38","ATCC_14035_Vibrio_cholerae",0.5,2,2,24,2,5,14379,4782,2,24,2,24,2,24,2,24,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"39","ATCC_17802_Vibrio_parahaemolyticus",0.5,2,2,22,2,6,689,4285,2,22,2,22,2,22,2,22,2,4,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"40","ATCC_19119_Listeria_ivanovii",0.5,5,5,11,5,7,5,1442,5,11,5,11,5,11,5,11,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"41","ATCC_25922_Escherichia_coli",0.5,1,1,32,1,5,6672,4176,1,32,1,32,1,32,1,32,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"42","ATCC_33560_Campylobacter_jejuni",0.5,5,5,8,5,7,5,1182,5,8,5,8,5,8,5,8,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"43","ATCC_35221_Campylobacter_lari",0.5,18,18,21,18,19,87,1201,18,21,18,21,18,21,18,21,18,18,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"44","ATCC_35897_Listeria_welshimeri",0.5,1,1,18,1,4,1,3032,1,18,1,18,1,18,1,18,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"45","ATCC_BAA-679_Listeria_monocytogenes",0.5,0,0,13,0,3,6,2727,0,13,0,13,0,13,0,13,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"46","ATCC_10708_Salmonella_enterica",0.6,3,3,39,3,8,12,4282,3,39,3,39,3,39,3,39,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"47","ATCC_14035_Vibrio_cholerae",0.6,2,2,18,2,6,1169,5050,2,18,2,18,2,18,2,18,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"48","ATCC_17802_Vibrio_parahaemolyticus",0.6,2,2,26,2,7,7736,5065,2,26,2,26,2,26,2,26,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"49","ATCC_19119_Listeria_ivanovii",0.6,5,5,17,5,9,7,1600,5,17,5,17,5,17,5,17,5,6,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"50","ATCC_25922_Escherichia_coli",0.6,1,1,31,1,8,5265,5372,1,31,1,31,1,31,1,31,1,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"51","ATCC_33560_Campylobacter_jejuni",0.6,5,5,9,5,5,5,1385,5,9,5,9,5,9,5,9,5,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"52","ATCC_35221_Campylobacter_lari",0.6,18,18,24,18,20,20,1478,18,24,18,24,18,24,18,24,18,18,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
